Product name,Company,Sales,Ratings,Review
Zte Zinger Z667t Unlocked,ZTE Corporation,39.99,1,THIS IS A LOCKED T MOBILE PHONE. I KNOW IT IS
Zte Zinger Z667t Unlocked,ZTE Corporation,39.99,5,good
Zte Zinger Z667t Unlocked,ZTE Corporation,39.99,5,I bought this to connect a Nextbookkkkk tablet (from Walmart) to my T.V.; mainly to show YouTube videos on a bigger screen. It works- just plug it in.
Zte Zinger Z667t Unlocked,ZTE Corporation,39.99,4,The Zinger is a satisfactory beginning device; faster than my ZTE Avail. It could use more internal storage. Navigating is easy. The sound is very good; compatible with my hearing aids
Zte Zinger Z667t Unlocked,ZTE Corporation,39.99,1,"This phone was sold as a ""new"" phone. It had hundreds of contacts phone numbers on it, which tells me it was not new. What gives?"
Zte Zinger Z667t Unlocked,ZTE Corporation,39.99,5,VERY GOOD.
Zte Zinger Z667t Unlocked,ZTE Corporation,39.99,2,"The phone description says ""Zte Zinger Z667t Unlocked"" but the phone that I received was locked to AT&T.Otherwise it is a very basic Android phone; and at $43 when I purchased, the least expensive Android phone."
Zte Zinger Z667t Unlocked,ZTE Corporation,39.99,1,Phone does not work
Zte Zinger Z667t Unlocked,ZTE Corporation,39.99,5,"This one is hard to beat for a $50 phone in 2015. Very fast and more phone then I hoped for in this price range. Storage is limited, but a great international phone for vacations out of country."
Zte Zinger Z667t Unlocked,ZTE Corporation,39.99,5,Excellent
Zte Zinger Z667t Unlocked,ZTE Corporation,39.99,4,"I see the price has gone up from a week ago. If you look for a ""no contract"" T-Mobile ZTE Zinger, it's $35, but that phone is not fully unlocked - it works only for the Brighspot reseller's service (uses T-Mobile network but not the same as T-Mobile directly. For $10 you can have this phone truly unlocked and usable with any GSM SIM and service worldwide - thus, $45 total all-in.As for the phone itself, it's a low end Android smartphone but a BIG step up from earlier plain cellphones, and will support 3G. Better still, the WiFi feature lets you use the Chrome browser, Amazon, YouTube, and the Google android apps store without using any mobile network minutes (whenever you have WiFi connectivity). Th screen is small, built-in memory is marginal, and the camera is only 2 Mpixels - nothing to get excited about, but perfectly usable for many situations.It's a shame that one has to dig DEEP to find this phone on Amazon - ""no contract"" is NOT the same as ""unlocked"" !"
ZTE ZMAX PRO Z981 Unlimited 4G LTE 13MP Smartphone (Metro PCS),Zte,149,3,"Nice phone, a bit too big. Screen 'tears' while gaming. Looks like a flash of lightning when graphics are stressed...As a gamer, this is not the phone for me... Metro pcs took the phone back, but only refunded me $80... Wasn't worth the risk."
ZTE ZMAX PRO Z981 Unlimited 4G LTE 13MP Smartphone (Metro PCS),Zte,149,5,"Only had this phone a week, but really happy with it. I like the size for easy of messaging and clarity and the camera is excellent. The battery life is also very good, much better than my Iphone 5s. My unlocked version needs a bit of expertise to get 'Metro' out of the system.I'm a happy camper."
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,I loved it. It was in good shape. I wanted an older phone with no gadgets and data. Perfect Fit!!!
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,Great phone to use with page plus cellular minutes. It has a clean ESN. Works great and has a long battery life.
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,3,This is probably a phone that was used very hard before. When we started it up it only worked for 1 day with out problems. It has only been used for 2 weeks and it is already time to get another phone.
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,1,The Pnone was a piece of junkIt was all scratched up and was not cleaned off. Still had information on it from last ownerNot hapy with the person who sold it to us.
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,"While it was listed as refurbished, it appears to be new. It is in excellent condition and performs as expected."
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,4,"This phone is very easy to use and I like the color and I also like the screen. Easy to use,"
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,Ordered as a replacement for my mothers damaged phone. According to her its working good and recieved in good condition. Would purchase from again.
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,"This U640 has much better reception then my old LG phone and therefore has better battery life. I am buying two more of these for my family plan. It shipped fast and setup with Verizon with no problems and no contract, YES!"
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,4,"Rugged phone, great battery life, my only problem being that the car charger that was sent did not work (not my car's fault)."
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,4,This is a refurbished phone which has a few cosmetic dings but works just fine. It provides me exactly what I need in a cell phone.
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,2,"Upon ordering this item I was aware that it was used with some cosmetic damaged as described by the seller. Upon recieving the phone I became oh so aware of how ""used"" it was. This is a self proclaimed ""rugged phone"" so why is it that when I just simply flip the phone close it shuts off. I'm not dropping it from 5ft let alone 1 inch, I'm simply shutting the phone as you have to with flip phones! I've come to the conclusion that it must be the battery, either loose or something causing it to jar off the power mechanism therefore loosing battery power.Bottom Line: ""you get what you pay for"" very true statement, ""you expect to get what was described to you by seller, and then when it gets to you its all a lie and a piece of junk"" also very true of this product."
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,3,The phone was shipped dirty even though it is used should have wipe it down. other than that it's what was expected for a use phone.
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,4,I am an electrical contractor and this phone is rugged enough to handle rough work. It will take a beating and keep on ticking.
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,3,"I like flip phones, they are easily to use.I had this type of phone before it was too old to use so bought another one.The sellar said the phone was new? However a month after I started to use it the battery started to going down and I must charge it up every single day, certainly not the experience I had this phone when I ought the first one one from Verizon. Certainly not worth the $170.00 I paid for!!!"
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,"The Samsung Convoy is much sturdier than my earlier phone. It arrived quite quickly, and the Verizon personnel set it up w/o problems or extra charges."
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,first phone did not work i called them and they were great they did every thing to make me happy and to fix the problem. I would have no problem ordering from them again in the future i was very happy with this company.
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,"Great phone for the person who needs to make calls, take photos, and doesn't need alot of unused apps floating about."
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,1,I purchased this phone on 6/13/2013. Upon receiving this phone it was in good condition on the outside. Once i opened the phone the keypads were badly worn. Most of the buttons were flush with frame of the phone which would tell me it was used quite a bit. I also started to experience problems with my phone shutting off randomly. After i took the battery cover off the back of the phone i noticed it was not the battery pack that comes with the phone. It was loose just enough that it wasn't making the correct connection to the terminals. I put a small piece of paper to wedge the battery in so the connection could be made. That fixed that problem the the good condition used phone. In August of this year i started to have problems with sound on the phone. I had several people tell me they could not hear me unless i screamed into the phone. I later recorded my voice while speaking into the phone and there was no sound from my voice. I then realized i was sold a junk phone with excessive wear from the seller and lied to about his posting on amazon.com that this phone was in good condition. I have sense thrown the phone away and bought another from my cell phone provider. I would not recommend buying a phone from this seller. I realize its a used phone but it should last more than two months before it breaks down....
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,4,The phone was decent and came as expected. However one of the chargers didnt work from day one...which made it hard to use the phone. So tht left me a little disappointed withthe buyer.
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,I like this phone for the larger buttons for texting. It works well in the holder I have and it is not cumbersome. Perfect as a work phone.
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,LOVE IT
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,1,"Item was listed as new, but was not. When we tried to activate the phone, it could not be activated due to a lock put on it by the previous owner."
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,4,"good rugged phone that has a long-lasting batteryif you need a screen bigger than a deck of cards to play on the internet and just need a phone for calls, occasional texting and photos this is it. tough, works and the battery lasts for DAYS!"
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,3,The phone is good
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,1,used hard
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,another great deal great price
