Healthcare,Username,Reviews,Rating,Date / time
TATA 1mg,A Google user,Good one,5,28-01-2013 08:59
TATA 1mg,A Google user,"It should be on every Indian android phone. If you don't find any medicine, kindly update the DEV, this will help everyone, instead of complaining. Remember it's a free app.",5,27-01-2013 10:50
TATA 1mg,A Google user,Really helpful to get all info including price.I advice to download the application,4,23-01-2013 02:20
TATA 1mg,A Google user,Finally a app that is so useful keep updating please excepting lots more....,5,22-01-2013 03:24
TATA 1mg,A Google user,it is very usefull app.,5,20-01-2013 17:40
TATA 1mg,A Google user,"Nothing fits better than this app in google markets. Except one thing to add for general people like us. When I search crocin It should even mention for what it is consumed like headache, body pain, fever, etc..",5,16-01-2013 22:07
TATA 1mg,A Google user,The best medical app I ever used. Only thing I have struggled is the the words were very small & no pinch zoom. I think by the next update resolve this problem ..... 5stars,5,12-01-2013 03:31
TATA 1mg,A Google user,Great app!!!,4,10-01-2013 14:03
TATA 1mg,A Google user,Useful for all,5,09-01-2013 13:53
TATA 1mg,A Google user,Awsome app,5,04-01-2013 04:09
TATA 1mg,A Google user,Good,4,25-12-2012 04:55
TATA 1mg,A Google user,Cooooool app,5,19-12-2012 05:07
TATA 1mg,A Google user,It's not opening..,5,18-12-2012 15:38
TATA 1mg,A Google user,"Very useful app, but force closes itself, doesn't work when it needs the most for patients. Will require time to rely on this app",3,12-12-2012 07:11
TATA 1mg,A Google user,Not working on my samsung y duos  So unistalling..,1,11-12-2012 18:19
TATA 1mg,A Google user,"I have never given any comments to any application but couldnt stop my self to do for this app. .superb work ..amazing stuff , crystal clear knowledge about the stuff loaded .hats off to the team .",5,10-12-2012 19:22
TATA 1mg,A Google user,Good,5,10-12-2012 14:54
TATA 1mg,A Google user,I like this app,5,09-12-2012 08:46
TATA 1mg,A Google user,It shows one search column. It is not working.,1,06-12-2012 10:54
TATA 1mg,A Google user,Very useful....,5,04-12-2012 18:24
TATA 1mg,A Google user,Mk,5,01-12-2012 19:15
TATA 1mg,A Google user,excellent application made for Indian Pharma Industry. Other apps charge exorbitantly.  I have used MIMS IDR and many apps in Computer and found prices were not updated in those apps. A BIG KUDOS for their efforts. Keep update the data base.I searched for 5 brands for which I got all the required informations like comparative prices (Not available in MIMS) and IDR data base is totally inexhaustive.,5,27-11-2012 17:34
TATA 1mg,A Google user,"Thanks so much for this very helpful, easy to use guide!",5,25-11-2012 07:43
TATA 1mg,A Google user,Very useful app,5,22-11-2012 02:19
TATA 1mg,A Google user,Get it.,5,20-11-2012 09:58
TATA 1mg,A Google user,Thank you so much..a really well executed app. Nice elegant light but simple UI combined with the app content makes it a must have 4 every indian.,5,16-11-2012 03:41
TATA 1mg,A Google user,Cool,5,09-11-2012 10:24
TATA 1mg,A Google user,"Amazing effort, needs to be spread among masses.",5,08-11-2012 03:23
TATA 1mg,A Google user,geat app...shows u whatever u need to know about your medicines...plus more,5,07-11-2012 12:53
TATA 1mg,A Google user,This is very useful for my family...,5,06-11-2012 16:07
TATA 1mg,A Google user,Useful app...!!!! plz add some more medicines...!!!,5,06-11-2012 09:18
TATA 1mg,A Google user,I think the information will be very useful. Also people will able to find the options available. Will also help to decrease the medicin expenditure. And may also help in decreasing the profit margin taken by the manufacturers.,5,31-10-2012 15:21
TATA 1mg,A Google user,"Gives us complete information, with a Gud Database.",5,28-10-2012 19:00
TATA 1mg,A Google user,Kindly add some more drugs for wide range...and keep up the good work,4,28-10-2012 11:43
TATA 1mg,A Google user,Its just a must have and is also good on our pocket,4,27-10-2012 18:10
TATA 1mg,A Google user,This is brilliant idea but application search function not working. It just stays on search page. Need to update. Five star if works fine..,3,27-10-2012 03:50
TATA 1mg,A Google user,"There's something wrong with the software. It's closing down every time I'm trying to open it. Otherwise, qualitywise, it's quite good. Please load an update to correct it. Else it'd be unusable.",3,18-10-2012 18:42
TATA 1mg,A Google user,Excellent app but connectivity problem,5,16-10-2012 10:48
TATA 1mg,A Google user,Best app,5,16-10-2012 09:03
TATA 1mg,A Google user,It's a very useful and must have application. After screening of the episode related to generic drugs on Satyam jayate there was a d3finite need of such a wonderful application. Thank you developers. Please add more drugs so that everyone can be educated or benefited from these generic drugs.,5,14-10-2012 19:04
TATA 1mg,A Google user,It's very useful application...,5,14-10-2012 18:21
TATA 1mg,A Google user,Not able to search on my phone..... What's the problem?,1,14-10-2012 03:22
TATA 1mg,A Google user,"Very useful, one should have this",5,14-10-2012 03:02
TATA 1mg,A Google user,Best app,4,13-10-2012 02:24
TATA 1mg,A Google user,Thanx dev... update the drug data and get 5*,4,12-10-2012 22:42
TATA 1mg,A Google user,Modify the side effects section as it looks the same for all medicines,4,12-10-2012 19:05
TATA 1mg,A Google user,Not working on galaxy y duos.,1,12-10-2012 14:23
